PlaceName,Latitude,Longitude
"Kudle Beach Road, Gokarna 581326 India",14.5432369,74.3171358
"1,Opp, Ganesh Medicals, Near Pumpwell Circle, Mangalore 575002 India",12.8696935,74.86311340000002
"Kundana Hobli Plot No 12a Hegganahalli Village Devanahalli Taluk, Bengaluru 560052 India",13.0058847,77.5050689
"No. 31, 32,33 E Block Extn. 2nd Cross,14th Main Sahakaranagra, Near Kodigehalli Signal, Bengaluru 560092 India",12.9998893,77.5577849
"Anantha Kalyan Nagar Manipal #5-297, Udupi 576104 India",13.349271,74.7863698
"SH-91 Theppadakandi, Basavanahalli, Dubare Elephant Camp Main Road, Guddehosur, Kushalnagar 571234 India",12.3726436,75.9004325
"Basaveshwara Extension Near Balamuri Temple, Kushalnagar 571234 India",12.4647796,75.9543072
"Ganga Sagar A Boutique Hotel Main Road, Near Bajpe Market, Mangalore 574142 India",12.9794206,74.88318799999999
"Court Back Road Taluk Office Circle, Udupi 576101 India",13.332374,74.747362
"Maruthi Veethika road, Udupi 576101 India",13.3405182,74.749464
"Opp. Woodlands Hotel, Near Sri Krishna Temple, Udupi India",13.3408807,74.7421427
"Kediyoor Complex, Udupi 576101 India",13.3354175,74.7205385
"Plot No 514 Opp Lumbini Garden Outer Ring Road Service Road, Bengaluru 560045 India",13.0434124,77.6096254
"62 B M G Road Opp. Jss Hospital Near JSS Hospital, Mysuru (Mysore) 570004 India",12.2955614,76.655683
"S.D. No 1 , Udupi - Manipal Road Kadiyali Junction, Udupi 576102 India",13.3473413,74.7568536
"S.D. No 1 , Udupi - Manipal Road Kadiyali Junction, Udupi 576102 India",13.3473413,74.7568536
"Badagupete Road near Sri Krishna Temple, Udupi 576001 India",13.3408807,74.7421427
"Anemahal Bangalore - Mangalore Road, Sakleshpur 573134 India",12.9432588,75.7836087
"Malpe Beach, Udupi 576 108 India",13.3554792,74.70444250000001
"138, Hirimande, Sakleshpur 573125 India",13.0024461,75.6430609
"Near Ksrtc Ticket Booking Centre, Udupi 576101 India",13.3239534,74.7395591
"Sakleshpur - Halsulige Road, Sakleshpur 573127 India",12.9715324,75.8078796
"Jambardi Village, Kyamnahalli Post, Sakleshpur 573165 India",12.9441511,75.78656529999999
"Agani, Hanbal post, Sakleshpur 573165 India",13.0046838,75.6969615
"Kadumane Estate, Sakleshpur Kadamane Tea Estate, Sakleshpur India",12.9182101,75.6731734
"Kavi Muddana Road S.NO-114/B2P5, Udupi 576101 India",13.3239534,74.7395591
"Byakaravalli Village and Post, Sakleshpur 573134 India",12.9441511,75.78656529999999
"Athihalli Village Ramegowda guesthouse road, Sakleshpur 573123 India",12.7632765,75.732833
"Hadya Village, Hethur Post, Sakleshpur 573123 India",12.9441511,75.78656529999999
"Vanagoor,2 Kms on Kudrastae-Bisle Road Hassan District, Sakleshpur 573134 India",12.71983,75.6856818
"Hongadahalla, Hettur Hobli near by Coorg 2 hours drive to Coorg, 5 hours drive from Bangalore, Sakleshpur 573123 India",12.9441511,75.78656529999999
"Haragarahalli village, Sakleshpur 573134 India",12.9441511,75.78656529999999
"I.B Road, Kushalnagar 571234 India",12.4576837,75.9594822
"Heddurga Road ear Gundan Bellur, Palya Circle, Sakleshpur 573134 India",12.9441511,75.78656529999999
"Haragarahalli, Sakleshpur India",12.8642709,75.7633127
"I.B Road Coorg, Kushalnagar 571234 India",12.4576837,75.9594822
"Survey Number #81/82, Dindighatta Village, Palya Post, Alur Taluk,, Sakleshpur 573218 India",12.9471576,75.94342089999999
"Sri Balaji Farm,Chickbettagere Village Guddehosur Post, Kushalnagar 571234 India",12.4555177,75.9570234
"Kudige, Kushalnagar 571232 India",12.4948998,75.9535167
"BM Road 1st floor, Opp to RMC yard, next to woodland showroom, Kushalnagar 571234 India",12.4515253,75.96584589999999
"No 24 Hosapatna Village Nanjarayapatna Post Nanjarayapatna Post, Kushalnagar 571234 India",12.3807719,75.9061242
"Mangalore - Mysore Highway, Kushalnagar 571234 India",12.4470416,75.8149486
"2203/54 D - 28 New Sayyaji Rao Mysore Bengaluru Road Near Highway Circle, Mysuru (Mysore) 570015 India",12.3261161,76.64469509999999
"Sunnadakere Road Guddehosuru, Kushalnagar 571234 India",12.4555177,75.9570234
"Kaveri River Road Ayyappa Swamy Temple Rd, Bus Stand, Behind KSRTC, Kushalnagar 571234 India",12.456521,75.960143
"No 2 Nazarbad Main Road Opp Park, Nazarbad, Mysuru (Mysore) 570010 India",12.3092053,76.6619649
"Bangalore Nilgiri Road Opp. Woodlands Theatre, Mysuru (Mysore) 570001 India",12.3193188,76.6584606
"#85 - 87 B E M L Road Hootagalli, Mysuru (Mysore) 570018 India",12.3411354,76.58396809999999
"Gandadakote, KMT School Road, Kushalnagar 571234 India",12.455534,75.9456894
"35/A, Bangalore Nilgiri Road Behind Bhima Jewellery, Mysuru (Mysore) 570001 India",12.3110994,76.6593602
"43/A B N Road opposite Woodland Theatre, Hardinge Circle, Mysuru (Mysore) 570001 India",12.2958104,76.6393805
"43/A B N Road opposite Woodland Theatre, Hardinge Circle, Mysuru (Mysore) 570001 India",12.2958104,76.6393805
"2932/A, Off Bangalore-Nilgiri Road Suburban Bus Stand, Near K.S.R.T.C. Building, Behind Kalyan Jewels, Mysuru (Mysore) 570001 India",12.3137083,76.65844109999999
"1 MG Road Indiranagar Extension, Mysuru (Mysore) 570 010 India",12.2977996,76.6522182
"Nethra Nivas Nazarbad Main Road Nazarbad Main Road, Mysuru (Mysore) 570010 India",12.3085782,76.664233
"5 Jhansi Lakshmi Bai Road, Mysuru (Mysore) 570005 India",12.304798,76.292927
"2275 Tumkur Road Yeshwantpur, Bengaluru 560022 India",13.027916,77.54234579999999
"No 21,Guddehosur Coorg, Kushalnagar 571234 India",12.4555177,75.9570234
"1 Palace Road, Bengaluru 560001 India",12.9955214,77.5893672
"No. 3, Abba Road, Mysuru (Mysore) 570007 India",12.318241,76.6629932
"2/1  St Johns Road, Bengaluru 560042 India",12.987609,77.617189
"2257/1 Vinoba Road Near Kala Mandir, Mysuru (Mysore) 570005 India",12.3103214,76.6487847
"13 - 14 Vinoba Road, Mysuru (Mysore) 570005 India",12.3119794,76.6431709
"Virupapur Gadde , Sanapur post Sunnyguesthouse virapapuragaddi sanapur post gangvathi taluka Koppal dist karanataka, Hampi 583234 India",15.350264,76.455422
"Virupapur Gadde , Sanapur post Sunnyguesthouse virapapuragaddi sanapur post gangvathi taluka Koppal dist karanataka, Hampi 583234 India",15.350264,76.455422
"Plot No - 30, Rajaram Mohan Roy Road Off Richmond Road, Bengaluru 560027 India",12.967888,77.5916707
"Allasandra Bellary Rd Yelahanka, near Jakkur Flying Club, Bengaluru 560065 India",13.1175904,77.6085818
"#479 ,O.T.C Road Cottonpet, Majestic, Bengaluru 560053 India",12.9730782,77.570724
"Cross the River from Hampi Sanapur, Hampi 583234 India",15.3350132,76.46002399999999
"R.V Layout Plot 104/1, Kumara Park West Extension, Bengaluru 560020 India",12.9955462,77.5801548
"93 Richmond Road, Bangalore, Bengaluru 560025 India",12.9669572,77.60978419999999
"71 Virupapurgaddi Sanapur Gangavathi, Hampi 583234 India",15.3350132,76.46002399999999
"273 Kadirampur Behind Canara Bank Behind Canara Bank, Hampi 583239 India",15.3115462,76.4620971
"Opp Govt. Hospital, P.K.Halli Road, Hampi 583276 India",10.994577,76.9697968
"Reservoir Road, Hampi 583234 India",15.355232,76.4342097
"Janata Plot 2nd Ward, Hampi 583239 India",15.3350132,76.46002399999999
"River Side Road, Hampi 583239 India",15.3363349,76.45720519999999
"Main Doddaballapur Road Rajankunte, Northwest Country, Bengaluru 560064 India",13.1993646,77.5617449
"Road Nanthoor Near Pumpwell Circle, Mangalore 575002 India",12.8690238,74.8643573
"Near Stone Bridge Cross, Anjanadri hill Sanapur, Anegondi, Hampi 583234 India",15.3350132,76.46002399999999
"Narayanpet, 2 Km From Basapur Village, Hampi 583239 India",16.8166501,77.6297956
